Time,lon,lat,S,T,PAR,HfNano,RedNano,HflrNano,HsNano,OraPicoProk,RedPico,HflrPico
2023-04-29 19:29:00,4.70220210025347,41.3511540965601,38.50216373405664,17.15206375429612,16.07143,387.2,5146.0,756.5,530.9,10910.0,3054.0,159.7
2023-04-29 19:46:00,4.70149400008047,41.3807578953168,38.496341198490256,17.057542791551178,4.047736,248.8,5482.0,885.9,497.7,14540.0,3480.0,193.1
2023-04-29 19:59:00,4.70140020010862,41.4039368946051,38.49433148861324,16.980853625660256,1.586622,271.2,4800.0,961.2,408.8,16250.0,3360.0,169.5
2023-04-29 20:17:00,4.70088159994569,41.4364995945509,38.49493703119213,16.957914783942243,1.372677,292.0,5594.0,1021.0,544.3,18910.0,3492.0,180.8
2023-04-29 20:29:00,4.69794460027158,41.4464950005733,38.49514240243519,16.878176873023314,1.371977,302.3,5000.0,1032.0,558.9,17180.0,3160.0,179.0
2023-04-29 20:47:00,4.70175559930799,41.4277211044096,38.49674487608832,16.95886054947561,1.360755,282.3,5276.0,1034.0,514.9,20380.0,3845.0,226.6
2023-04-29 20:59:00,4.70489819949306,41.4073348033796,38.50970440750151,17.026272734117313,1.353338,357.3,5812.0,1088.0,526.9,15610.0,3990.0,199.6
2023-04-29 21:16:00,4.70837749937236,41.3776040047314,38.51502375005306,17.03708693822334,1.354032,321.8,7363.0,1359.0,560.3,17110.0,4802.0,206.6
2023-04-29 21:29:00,4.71177859902241,41.3546065054492,38.5022600928305,17.03644719858151,1.362781,181.6,5571.0,999.7,421.0,16450.0,4095.0,193.6
2023-04-29 21:46:00,4.71674869940857,41.3262412037598,38.52194867196849,17.15250420966252,1.382287,288.7,6647.0,893.9,565.4,9168.0,4302.0,234.9
2023-04-29 21:59:00,4.7201700993965,41.3049935041038,38.50526794880561,17.047325936278014,1.383731,243.5,5653.0,965.8,476.9,13990.0,4386.0,261.4
2023-04-29 22:16:00,4.72570840012171,41.3027251977097,38.50596700194218,17.016409703100365,1.370446,302.7,6598.0,989.8,446.1,15290.0,4696.0,256.9
2023-04-29 22:29:00,4.72128020068799,41.3217094968135,38.51622003741315,17.00017665547238,1.356859,220.9,5888.0,837.7,455.7,9800.0,4449.0,226.8
2023-04-29 22:46:00,4.71667659917924,41.3189005040877,38.51400989533805,17.01319521872679,1.364177,257.5,6706.0,896.1,445.1,12950.0,4844.0,255.5
2023-04-29 22:59:00,4.71970319945689,41.2991432045078,38.5037573120352,16.99554166020871,1.388111,223.7,5692.0,922.7,435.4,15970.0,4879.0,201.7
2023-04-29 23:17:00,4.72404799923966,41.2726177044715,38.49360697351143,16.851308762695453,1.354198,220.6,5549.0,836.7,393.5,23370.0,3830.0,206.7
2023-04-29 23:29:00,4.7268981995172,41.2549037038775,38.50706518852931,16.91770980464405,1.344117,143.7,5047.0,930.3,353.4,16770.0,3839.0,199.6
2023-04-29 23:47:00,4.73098109937236,41.2279784041843,38.50013073803306,16.820232110067266,1.349968,390.6,4314.0,769.2,510.2,11510.0,3892.0,211.2
2023-04-29 23:59:00,4.73366909966204,41.2094221030416,38.50384561678686,17.01547241287924,1.363631,428.9,4690.0,1046.0,690.9,15440.0,4424.0,232.3
2023-04-30 00:16:00,4.73727139934017,41.1836788040716,38.50373792895973,17.27859997946132,1.358418,154.7,3174.0,717.8,442.2,23790.0,3537.0,198.3
2023-04-30 00:29:00,4.74047439940258,41.1638195044897,38.474596610702406,17.376107672010466,1.35315,101.5,1654.0,380.1,308.4,18840.0,2062.0,163.2
2023-04-30 00:46:00,4.74404479950714,41.1389767033655,38.37341090856781,17.371995303902462,1.344471,79.17,2244.0,447.3,453.2,15320.0,2454.0,148.4
2023-04-30 00:59:00,4.74633079957755,41.1201388036361,38.38627128587158,17.543096072238804,1.345158,74.96,1184.0,351.1,384.7,4379.0,1685.0,155.8
2023-04-30 01:16:00,4.74984449952424,41.0953695027218,38.22791370724074,17.702167507697933,1.351782,59.6,1125.0,282.1,439.1,7759.0,1844.0,135.1
2023-04-30 01:29:00,4.75234399967411,41.0762530028123,38.14119838646464,17.62288421835686,1.345041,37.91,959.6,241.4,377.1,8762.0,1815.0,121.7
2023-04-30 01:46:00,4.75567659942064,41.0522443039107,38.11356295932766,17.632650710694907,1.342003,37.79,1201.0,254.6,306.3,13800.0,2142.0,107.4
2023-04-30 01:59:00,4.75848259933017,41.0326998047069,38.10803270355739,17.813315621401493,1.322876,29.83,1179.0,198.9,344.0,17240.0,2100.0,109.4
2023-04-30 02:16:00,4.76212389935224,41.0057048037035,38.11475902293816,17.67549753906404,1.289858,49.5,1313.0,291.1,370.3,16920.0,2295.0,130.7
2023-04-30 02:29:00,4.76572739941159,40.984574903968,38.136361573008585,17.67587475620785,1.284892,29.93,941.8,217.5,351.2,10810.0,1975.0,115.7
2023-04-30 02:46:00,4.76940269957956,40.9571608029431,38.08109411061656,17.797137440448793,1.263835,19.74,992.9,238.9,323.7,12700.0,2027.0,92.78
2023-04-30 02:59:00,4.7727620993965,40.9361402032227,38.08329833615152,17.708312358788806,1.254617,21.95,726.5,199.6,311.4,12500.0,1876.0,123.7
2023-04-30 03:16:00,4.77579659959767,40.9088545044257,38.120370115017394,17.83988618366496,1.280635,17.89,950.4,216.7,340.0,15240.0,1903.0,97.42
2023-04-30 03:29:00,4.77911079920344,40.8868013049966,38.14367831997584,17.488189799529465,1.301029,17.88,1047.0,248.3,264.2,18200.0,1976.0,127.1
2023-04-30 03:46:00,4.78312439949306,40.8583205041259,38.15502684212069,17.443992573000067,1.317994,27.84,1211.0,250.6,252.6,22000.0,2229.0,99.43
2023-04-30 03:59:00,4.78392370152384,40.8428775997737,38.17351488870318,17.09148542943885,1.309764,59.89,980.3,241.6,239.6,16720.0,2096.0,111.8
2023-04-30 04:16:00,4.78430260017703,40.8516078000111,38.17020021272207,17.300969564389277,1.306921,21.9,1304.0,312.6,280.7,23820.0,2320.0,79.64
2023-04-30 04:29:00,4.78403880010863,40.851788,38.16969821887223,17.280044219819057,1.302663,25.85,1088.0,252.5,230.7,21260.0,2187.0,75.56
2023-04-30 04:46:00,4.78440190003219,40.8518298999034,38.17230830684944,17.283958838554618,1.301985,27.95,1278.0,333.4,273.5,24390.0,2296.0,115.8
2023-04-30 04:59:00,4.78178310095949,40.8503420033492,38.17220947787855,17.216159033936897,1.311401,49.6,1040.0,269.8,248.0,22140.0,2032.0,103.2
2023-04-30 05:16:00,4.78616889904245,40.8501792963106,38.1746187138424,17.15825894062334,1.338628,29.85,1140.0,274.6,222.9,25040.0,2408.0,103.5
2023-04-30 05:29:00,4.79185969883826,40.8723253954436,38.161659851362245,17.32614044322392,1.943194,17.95,895.4,267.2,219.4,24960.0,1885.0,85.75
2023-04-30 05:46:00,4.8029691988272,40.9015617968025,38.14899867648816,17.672519831095766,4.465855,19.92,936.5,267.0,314.8,21690.0,1971.0,101.6
2023-04-30 05:59:00,4.81114919873265,40.9236269966807,38.10769823196218,17.74949692016142,12.13556,17.96,786.1,235.4,241.4,19090.0,1764.0,91.78
2023-04-30 06:16:00,4.82042799876081,40.9520388955421,38.07695392489322,17.738414137839516,36.52208,13.96,1031.0,287.3,245.4,19510.0,2031.0,113.7
2023-04-30 06:29:00,4.82712189826206,40.9720026953474,38.11593820626219,17.71934307151183,33.57866,25.79,777.7,287.7,281.7,16140.0,1768.0,121.0
2023-04-30 06:47:00,4.8374752983888,40.9990398956009,38.10609043321244,17.603941714680964,62.15782,27.67,1150.0,334.0,302.4,23860.0,1988.0,100.8
2023-04-30 06:59:00,4.84387759859686,41.0174042960471,38.10719387482994,17.407455461673187,142.7462,17.86,928.6,250.0,248.0,21480.0,1794.0,107.1
2023-04-30 07:16:00,4.85546039863911,41.0441652971012,38.10980643224289,17.495136654839957,185.7444,25.83,1139.0,288.2,284.2,22550.0,1878.0,109.3
2023-04-30 07:29:00,4.8643779986723,41.0648762967894,38.12829147283848,17.62325220191609,329.0071,33.87,1118.0,374.5,292.8,22260.0,1815.0,101.6
2023-04-30 07:46:00,4.87463309863207,41.0919646956387,38.27107068422315,17.514477180896677,373.0638,51.34,967.6,394.9,319.9,13830.0,1783.0,104.7
