Time,Longitude,Latitude,T,S,AnRho,Region,color
2023-04-30 12:58:48,4.99848763582194,41.4057263698007,16.3309993743896,38.50898963634369,28.2305,A,lightblue
2023-04-30 12:58:54,4.99848685603938,41.4055502377883,16.3309993743896,38.50949173025896,28.2309,A,lightblue
2023-04-30 12:59:00,4.99848557586896,41.4053729795891,16.3360004425049,38.50979067945046,28.23,A,lightblue
2023-04-30 12:59:06,4.99848246596677,41.4051986373559,16.3439998626709,38.50989415070626,28.2281,A,lightblue
2023-04-30 12:59:12,4.99848347786446,41.4050167356998,16.3519992828369,38.51130081258124,28.2273,A,lightblue
2023-04-30 12:59:18,4.99848337782963,41.4048382715273,16.3579998016357,38.51049588004346,28.2253,A,lightblue
2023-04-30 12:59:24,4.99848074409883,41.4046644631263,16.3570003509521,38.511902544190406,28.2267,A,lightblue
2023-04-30 12:59:30,4.99847935546916,41.4044847871711,16.3540000915527,38.51140041274793,28.227,A,lightblue
2023-04-30 12:59:36,4.99847821038518,41.4043107892735,16.3479995727539,38.51140039442768,28.2284,A,lightblue
2023-04-30 12:59:42,4.99847443576995,41.4041321694252,16.3530006408691,38.51119723182608,28.2269,A,lightblue
2023-04-30 12:59:48,4.99847299832371,41.4039532570565,16.3610000610352,38.51049578861296,28.2247,A,lightblue
2023-04-30 12:59:54,4.99846626451535,41.4037818549185,16.3689994812012,38.50949154751583,28.222,A,lightblue
2023-04-30 13:00:00,4.99846252088277,41.4036049741265,16.3759994506836,38.51049575508865,28.221,A,lightblue
2023-04-30 13:00:06,4.99846006325408,41.4034258585166,16.3719997406006,38.50989396818319,28.2215,A,lightblue
2023-04-30 13:00:12,4.99845299260416,41.4032539629369,16.367000579834,38.51089817757092,28.2235,A,lightblue
2023-04-30 13:00:18,4.9984491200974,41.4030795206119,16.3640003204346,38.51250415399187,28.2254,A,lightblue
2023-04-30 13:00:24,4.99844892878876,41.4029013788179,16.3680000305176,38.51190236632028,28.2241,A,lightblue
2023-04-30 13:00:30,4.99844935743906,41.4027257640236,16.3719997406006,38.51069497722573,28.222,A,lightblue
2023-04-30 13:00:36,4.99844830124409,41.4025577247823,16.3719997406006,38.51029633576993,28.2218,A,lightblue
2023-04-30 13:00:42,4.99845155517536,41.4023815607357,16.3759994506836,38.51099773999863,28.2215,A,lightblue
2023-04-30 13:00:48,4.99845092172998,41.4022084857313,16.386999130249,38.51140017824578,28.2191,A,lightblue
2023-04-30 13:00:54,4.99844853377406,41.4020426202341,16.3910007476807,38.51180261794413,28.2183,A,lightblue
2023-04-30 13:01:00,4.9984521243651,41.4018657381852,16.3920001983643,38.51180259749277,28.2181,A,lightblue
2023-04-30 13:01:06,4.99844976573352,41.4016980485588,16.3969993591309,38.511702924383,28.2169,A,lightblue
2023-04-30 13:01:12,4.99844678209791,41.4015289512729,16.3990001678467,38.51220501989684,28.2167,A,lightblue
2023-04-30 13:01:18,4.99844242671523,41.4013562617483,16.4029998779297,38.511400089624026,28.2152,A,lightblue
2023-04-30 13:01:24,4.99843738546745,41.4011898854768,16.4090003967285,38.51099761695944,28.2137,A,lightblue
2023-04-30 13:01:30,4.9984349503886,41.4010185764618,16.4130001068115,38.51099759942493,28.2127,A,lightblue
2023-04-30 13:01:36,4.99842998837053,41.4008463040981,16.4109992980957,38.51140003942053,28.2134,A,lightblue
2023-04-30 13:01:42,4.99842238858654,41.40067959291,16.4050006866455,38.51180248102905,28.215,A,lightblue
2023-04-30 13:01:48,4.99841849822916,41.4005111569339,16.4020004272461,38.51130035176508,28.2155,A,lightblue
2023-04-30 13:01:54,4.99841564173172,41.4003381104861,16.4009990692139,38.510798221607175,28.2154,A,lightblue
2023-04-30 13:02:00,4.99840965085553,41.4001706211575,16.4039993286133,38.511399974384005,28.215,A,lightblue
2023-04-30 13:02:06,4.99840353540644,41.4000011922987,16.4099998474121,38.51180241512836,28.2139,A,lightblue
2023-04-30 13:02:12,4.99839777833936,41.3998303967522,16.4169998168945,38.51260347932856,28.2128,A,lightblue
2023-04-30 13:02:18,4.99839231418698,41.3996633287289,16.4260005950928,38.51300592007632,28.2111,A,lightblue
2023-04-30 13:02:24,4.99839014529115,41.3994874989626,16.4360008239746,38.51310939080695,28.2087,A,lightblue
2023-04-30 13:02:30,4.99838764378777,41.3993159756217,16.443000793457,38.51260342775663,28.2066,A,lightblue
2023-04-30 13:02:36,4.99838293006722,41.3991462700619,16.44700050354,38.513507980527386,28.2063,A,lightblue
2023-04-30 13:02:42,4.99838035336961,41.3989730772936,16.443000793457,38.51270688244155,28.2068,A,lightblue
2023-04-30 13:02:48,4.99837857813203,41.3988000894957,16.4400005340576,38.51240406374582,28.2073,A,lightblue
2023-04-30 13:02:54,4.99837420513215,41.3986285075327,16.4340000152588,38.51210124620021,28.2085,A,lightblue
2023-04-30 13:03:00,4.99837364473807,41.398453386432,16.4309997558594,38.511300147133376,28.2084,A,lightblue
2023-04-30 13:03:06,4.99837050959918,41.3982812021293,16.4230003356934,38.51139978570817,28.2105,A,lightblue
2023-04-30 13:03:12,4.99836809965443,41.3981097574484,16.4139995574951,38.51109696742385,28.2124,A,lightblue
